Date,Open,Volume,Change,Colour
16/10/2018,43700,6825677,-0.794551646,Red
17/10/2018,44150,8306193,1.029748284,Blue
18/10/2018,43950,8347725,-0.453001133,Red
19/10/2018,43900,7842520,-0.113765643,Red
22/10/2018,43450,8357648,-1.025056948,Red
23/10/2018,43300,9531231,-0.345224396,Red
24/10/2018,43050,13522825,-0.577367206,Red
25/10/2018,40600,19338170,-5.691056911,Red
26/10/2018,41100,14413864,1.231527094,Blue
29/10/2018,40850,14460521,-0.608272506,Red
30/10/2018,41400,14205190,1.346389229,Blue
31/10/2018,42900,17621480,3.623188406,Blue
1/11/2018,42450,13423132,-1.048951049,Red
2/11/2018,43050,16517112,1.413427562,Blue
5/11/2018,43750,9426777,1.62601626,Blue
6/11/2018,43750,7713625,0,Blue
7/11/2018,43600,11553998,-0.342857143,Red
8/11/2018,44900,12617397,2.981651376,Blue
9/11/2018,44450,7318500,-1.002227171,Red
12/11/2018,43850,8552566,-1.349831271,Red
13/11/2018,43900,9311126,0.114025086,Blue
14/11/2018,44500,6783344,1.366742597,Blue
15/11/2018,44050,5864067,-1.011235955,Red
16/11/2018,44600,7777124,1.248581158,Blue
19/11/2018,44050,7538720,-1.233183857,Red
20/11/2018,42450,9420664,-3.632236095,Red
21/11/2018,41800,10769589,-1.531213192,Red
22/11/2018,42000,5970796,0.4784689,Blue
23/11/2018,42450,5192638,1.071428571,Blue
26/11/2018,42150,6613009,-0.706713781,Red
27/11/2018,42900,8367091,1.779359431,Blue
28/11/2018,42800,6943099,-0.233100233,Red
29/11/2018,43850,8473511,2.453271028,Blue
30/11/2018,43450,19775519,-0.912200684,Red
3/12/2018,42750,12110702,-1.611047181,Red
4/12/2018,42650,14347746,-0.233918129,Red
5/12/2018,40900,12631983,-4.103165299,Red
6/12/2018,40600,14251826,-0.733496333,Red
7/12/2018,40900,11433083,0.738916256,Blue
10/12/2018,40450,14892263,-1.100244499,Red
11/12/2018,40600,10638766,0.370828183,Blue
12/12/2018,40250,12024279,-0.862068966,Red
13/12/2018,40650,26254646,0.99378882,Blue
14/12/2018,40200,19671783,-1.10701107,Red
17/12/2018,38650,11532968,-3.855721393,Red
18/12/2018,38300,11042101,-0.905562743,Red
19/12/2018,38900,9942037,1.566579634,Blue
20/12/2018,38600,11937617,-0.771208226,Red
21/12/2018,38200,14947080,-1.03626943,Red
24/12/2018,38500,9729530,0.785340314,Blue
26/12/2018,38400,12707675,-0.25974026,Red
27/12/2018,38700,10510643,0.78125,Blue
28/12/2018,38250,9900267,-1.162790698,Red
2/01/2019,39400,7847664,3.006535948,Blue
3/01/2019,38300,12471493,-2.791878173,Red
4/01/2019,37450,14108958,-2.219321149,Red
7/01/2019,38000,12748997,1.468624833,Blue
8/01/2019,38000,12756554,0,Blue
9/01/2019,38650,17452708,1.710526316,Blue
10/01/2019,40000,14731699,3.492884864,Blue
11/01/2019,40350,11661063,0.875,Blue
14/01/2019,40450,11984996,0.247831475,Blue
15/01/2019,40050,11492756,-0.988875155,Red
16/01/2019,41150,8491595,2.746566792,Blue
17/01/2019,41700,11736903,1.336573512,Blue
18/01/2019,42000,11029256,0.71942446,Blue
21/01/2019,42700,11355701,1.666666667,Blue
22/01/2019,42750,9964356,0.117096019,Blue
23/01/2019,41350,11071079,-3.274853801,Red
24/01/2019,43050,14747623,4.111245466,Blue
25/01/2019,44300,22789395,2.903600465,Blue
28/01/2019,45000,17998914,1.58013544,Blue
29/01/2019,45050,16215017,0.111111111,Blue
30/01/2019,44800,17505980,-0.554938957,Red
31/01/2019,46650,21621145,4.129464286,Blue
1/02/2019,46650,13832454,0,Blue
7/02/2019,46800,15872001,0.321543408,Blue
8/02/2019,45700,12689196,-2.35042735,Red
11/02/2019,44500,11125044,-2.625820569,Red
12/02/2019,44650,13184367,0.337078652,Blue
13/02/2019,46400,11299738,3.9193729,Blue
14/02/2019,46600,17259341,0.431034483,Blue
15/02/2019,46750,10554643,0.321888412,Blue
18/02/2019,46500,8183728,-0.534759358,Red
19/02/2019,45850,6741395,-1.397849462,Red
20/02/2019,46750,11506720,1.962922574,Blue
21/02/2019,46500,8694009,-0.534759358,Red
22/02/2019,46500,6895772,0,Blue
25/02/2019,47400,7484716,1.935483871,Blue
26/02/2019,47350,7985547,-0.105485232,Red
27/02/2019,47000,8045211,-0.739176346,Red
28/02/2019,46400,23569321,-1.276595745,Red
4/03/2019,46000,12926539,-0.862068966,Red
5/03/2019,44600,10612405,-3.043478261,Red
6/03/2019,44000,10202544,-1.34529148,Red
7/03/2019,43400,11049749,-1.363636364,Red
8/03/2019,44450,7729069,2.419354839,Blue
11/03/2019,44400,10717408,-0.112485939,Red
12/03/2019,44300,11431977,-0.225225225,Red
13/03/2019,44250,8108343,-0.112866817,Red
14/03/2019,43700,18039161,-1.242937853,Red
15/03/2019,43800,16814163,0.228832952,Blue
18/03/2019,43950,8188876,0.342465753,Blue
19/03/2019,43750,7609563,-0.455062571,Red
20/03/2019,43800,9846242,0.114285714,Blue
21/03/2019,44600,21138016,1.826484018,Blue
22/03/2019,46850,12535911,5.044843049,Blue
25/03/2019,45300,8699728,-3.308431163,Red
26/03/2019,45500,9729811,0.441501104,Blue
27/03/2019,44750,9568081,-1.648351648,Red
28/03/2019,44950,6821306,0.446927374,Blue
29/03/2019,44500,11491713,-1.001112347,Red
1/04/2019,45200,7362129,1.573033708,Blue
2/04/2019,45550,9480688,0.774336283,Blue
3/04/2019,46750,12436570,2.634467618,Blue
4/04/2019,46150,12650168,-1.28342246,Red
5/04/2019,46950,8546339,1.73347779,Blue
8/04/2019,47250,8507909,0.638977636,Blue
9/04/2019,46700,6878761,-1.164021164,Red
10/04/2019,46400,11883995,-0.642398287,Red
11/04/2019,46700,13697399,0.646551724,Blue
12/04/2019,46050,7668936,-1.391862955,Red
15/04/2019,47150,8733019,2.388707926,Blue
16/04/2019,47400,7730881,0.530222694,Blue
17/04/2019,47300,5513658,-0.210970464,Red
18/04/2019,47200,12808747,-0.21141649,Red
19/04/2019,45750,8479710,-3.072033898,Red
22/04/2019,45400,6006957,-0.765027322,Red
23/04/2019,45050,6920566,-0.77092511,Red
24/04/2019,45400,13299267,0.776914539,Blue
25/04/2019,44250,10868965,-2.533039648,Red
26/04/2019,44200,9739982,-0.11299435,Red
29/04/2019,45150,8777517,2.149321267,Blue
30/04/2019,46000,11121273,1.882613511,Blue
2/05/2019,45500,8625126,-1.086956522,Red
3/05/2019,45900,6562916,0.879120879,Blue
7/05/2019,45250,12014907,-1.416122004,Red
8/05/2019,44300,10398754,-2.099447514,Red
9/05/2019,43900,23029718,-0.902934537,Red
10/05/2019,42600,14579512,-2.961275626,Red
13/05/2019,42500,7635079,-0.234741784,Red
14/05/2019,41300,11563730,-2.823529412,Red
15/05/2019,42700,7670185,3.389830508,Blue
16/05/2019,42350,13687828,-0.819672131,Red
17/05/2019,41950,13357951,-0.944510035,Red
20/05/2019,41650,15752397,-0.715137068,Red
21/05/2019,42600,18812133,2.280912365,Blue
22/05/2019,43700,11033339,2.582159624,Blue
23/05/2019,43900,12259006,0.457665904,Blue
24/05/2019,43800,13966305,-0.227790433,Red
27/05/2019,42500,8066669,-2.96803653,Red
28/05/2019,42550,24506881,0.117647059,Blue
29/05/2019,41850,14930618,-1.645123384,Red
30/05/2019,42200,11766018,0.836320191,Blue
31/05/2019,42600,11365999,0.947867299,Blue
3/06/2019,42950,15466580,0.821596244,Blue
4/06/2019,43400,9913497,1.047729919,Blue
5/06/2019,44050,12464135,1.497695853,Blue
7/06/2019,43600,11683682,-1.021566402,Red
10/06/2019,44300,8792182,1.605504587,Blue
11/06/2019,44800,6664872,1.128668172,Blue
12/06/2019,44800,8607439,0,Blue
13/06/2019,44200,16906541,-1.339285714,Red
14/06/2019,43750,9322873,-1.018099548,Red
17/06/2019,43750,11890424,0,Blue
18/06/2019,43750,7994928,0,Blue
19/06/2019,45450,10417690,3.885714286,Blue
20/06/2019,44850,7147785,-1.320132013,Red
21/06/2019,45750,9454913,2.006688963,Blue
24/06/2019,45200,6085066,-1.202185792,Red
25/06/2019,45200,7076774,0,Blue
26/06/2019,45800,9226097,1.327433628,Blue
27/06/2019,46000,12603534,0.436681223,Blue
28/06/2019,47000,12949231,2.173913043,Blue
1/07/2019,47350,11383522,0.744680851,Blue
2/07/2019,46200,8463073,-2.428722281,Red
3/07/2019,45750,9669368,-0.974025974,Red
4/07/2019,45250,6365573,-1.092896175,Red
5/07/2019,45950,7235395,1.546961326,Blue
8/07/2019,44750,7823843,-2.611534276,Red
9/07/2019,44850,7646421,0.223463687,Blue
10/07/2019,45550,9253930,1.560758082,Blue
11/07/2019,46350,10989751,1.756311745,Blue
12/07/2019,46350,5245804,0,Blue
15/07/2019,45950,4717226,-0.862998921,Red
16/07/2019,46450,7407824,1.088139282,Blue
17/07/2019,46150,5216602,-0.645855759,Red
18/07/2019,46450,5143554,0.650054171,Blue
19/07/2019,46650,8819393,0.430570506,Blue
22/07/2019,46800,9009109,0.321543408,Blue
23/07/2019,47350,9061381,1.175213675,Blue
24/07/2019,47100,8756522,-0.527983105,Red
25/07/2019,47150,8408838,0.106157113,Blue
26/07/2019,46650,7873886,-1.060445387,Red
29/07/2019,46800,6856846,0.321543408,Blue
30/07/2019,46300,5551014,-1.068376068,Red
31/07/2019,46200,12872916,-0.215982721,Red
1/08/2019,44900,7811181,-2.813852814,Red
2/08/2019,44550,12151374,-0.779510022,Red
5/08/2019,44350,14214086,-0.448933782,Red
6/08/2019,42500,15083824,-4.171364149,Red
7/08/2019,43600,10002533,2.588235294,Blue
8/08/2019,43250,16926881,-0.802752294,Red
9/08/2019,43250,9685147,0,Blue
12/08/2019,44000,8466169,1.734104046,Blue
13/08/2019,43500,7276979,-1.136363636,Red
14/08/2019,43900,8750135,0.91954023,Blue
16/08/2019,43800,9528115,-0.227790433,Red
19/08/2019,44350,6014218,1.255707763,Blue
20/08/2019,43950,8434205,-0.901916573,Red
21/08/2019,44350,6571717,0.910125142,Blue
22/08/2019,44500,8061177,0.338218715,Blue
23/08/2019,43800,5017381,-1.573033708,Red
26/08/2019,43050,7954949,-1.712328767,Red
27/08/2019,43650,16883932,1.393728223,Blue
28/08/2019,44100,5758333,1.030927835,Blue
29/08/2019,44200,10768862,0.22675737,Blue
30/08/2019,43750,9899073,-1.018099548,Red
2/09/2019,44850,7185537,2.514285714,Blue
3/09/2019,43550,9774941,-2.898550725,Red
4/09/2019,43250,12441837,-0.688863375,Red
5/09/2019,44800,18297430,3.583815029,Blue
6/09/2019,46500,9896562,3.794642857,Blue
9/09/2019,46450,9434157,-0.107526882,Red
10/09/2019,47100,9231792,1.399354144,Blue
11/09/2019,47300,16141619,0.42462845,Blue
16/09/2019,47000,15550926,-0.634249471,Red
17/09/2019,47000,7006280,0,Blue
18/09/2019,46900,10413027,-0.212765957,Red
19/09/2019,48050,16461413,2.452025586,Blue
20/09/2019,49400,15460210,2.809573361,Blue
23/09/2019,49250,7568553,-0.303643725,Red
24/09/2019,49050,7871955,-0.406091371,Red
25/09/2019,49200,9187141,0.305810398,Blue
26/09/2019,49000,8494756,-0.406504065,Red
27/09/2019,48000,8048041,-2.040816327,Red
30/09/2019,48050,9497119,0.104166667,Blue
1/10/2019,48900,6206035,1.768990635,Blue
2/10/2019,48350,8382463,-1.124744376,Red
4/10/2019,47400,9331695,-1.96483971,Red
7/10/2019,48350,7047273,2.004219409,Blue
8/10/2019,47900,14239367,-0.930713547,Red
10/10/2019,48200,18639855,0.626304802,Blue
11/10/2019,49000,7783275,1.659751037,Blue
14/10/2019,50000,11130635,2.040816327,Blue
15/10/2019,49900,6058105,-0.2,Red
16/10/2019,50700,9136282,1.603206413,Blue
17/10/2019,50500,6701380,-0.394477318,Red
18/10/2019,50300,8483106,-0.396039604,Red
21/10/2019,49900,4406531,-0.795228628,Red
22/10/2019,50800,10898729,1.803607214,Blue
23/10/2019,51300,8663880,0.984251969,Blue
24/10/2019,52500,21185785,2.339181287,Blue
25/10/2019,50800,7879897,-3.238095238,Red
28/10/2019,50700,6431522,-0.196850394,Red
29/10/2019,51400,7581629,1.380670611,Blue
30/10/2019,50700,8959435,-1.361867704,Red
31/10/2019,51000,10304777,0.591715976,Blue
1/11/2019,50600,8467846,-0.784313725,Red
4/11/2019,51700,13012411,2.173913043,Blue
5/11/2019,52400,10581034,1.353965184,Blue
6/11/2019,52900,14361133,0.954198473,Blue
7/11/2019,53400,9257116,0.945179584,Blue
8/11/2019,53200,11603290,-0.374531835,Red
11/11/2019,52200,8185952,-1.879699248,Red
12/11/2019,51800,6576148,-0.766283525,Red
13/11/2019,52500,6225196,1.351351351,Blue
14/11/2019,51900,12010018,-1.142857143,Red
15/11/2019,52900,9703360,1.926782274,Blue
18/11/2019,53600,7746554,1.323251418,Blue
19/11/2019,53200,8907177,-0.746268657,Red
20/11/2019,53400,12560070,0.37593985,Blue
21/11/2019,51600,14298646,-3.370786517,Red
22/11/2019,51000,8478310,-1.162790698,Red
25/11/2019,52200,9050625,2.352941176,Blue
26/11/2019,51900,27372226,-0.574712644,Red
27/11/2019,51800,7546261,-0.192678227,Red
28/11/2019,51900,6833885,0.193050193,Blue
29/11/2019,51200,11179334,-1.348747592,Red
2/12/2019,50900,18877252,-0.5859375,Red
3/12/2019,49800,12059812,-2.161100196,Red
4/12/2019,49600,13246549,-0.401606426,Red
5/12/2019,50200,10449715,1.209677419,Blue
6/12/2019,50100,11414563,-0.199203187,Red
9/12/2019,50900,8470627,1.596806387,Blue
10/12/2019,51000,6882771,0.196463654,Blue
11/12/2019,51500,11379521,0.980392157,Blue
12/12/2019,53000,29178697,2.912621359,Blue
13/12/2019,54500,18120261,2.830188679,Blue
16/12/2019,54500,11512405,0,Blue
17/12/2019,55800,19358433,2.385321101,Blue
18/12/2019,56700,15558208,1.612903226,Blue
19/12/2019,57000,14180520,0.529100529,Blue
20/12/2019,56100,12095519,-1.578947368,Red
23/12/2019,56100,9839252,0,Blue
24/12/2019,55600,11868463,-0.891265597,Red
26/12/2019,54700,9645034,-1.618705036,Red
27/12/2019,55700,12313056,1.828153565,Blue
30/12/2019,56200,8356767,0.897666068,Blue
2/01/2020,55500,12993228,-1.245551601,Red
3/01/2020,56000,15422255,0.900900901,Blue
6/01/2020,54900,10278951,-1.964285714,Red
7/01/2020,55700,10009778,1.4571949,Blue
8/01/2020,56200,23501171,0.897666068,Blue
9/01/2020,58400,24102579,3.914590747,Blue
10/01/2020,58800,16000170,0.684931507,Blue
13/01/2020,59600,11359139,1.360544218,Blue
14/01/2020,60400,16906295,1.342281879,Blue
15/01/2020,59500,14300928,-1.490066225,Red
16/01/2020,59100,14381774,-0.672268908,Red
17/01/2020,61900,16025661,4.737732657,Blue
20/01/2020,62000,12528855,0.161550889,Blue
21/01/2020,62000,11142693,0,Blue
22/01/2020,60500,15339565,-2.419354839,Red
23/01/2020,61800,14916555,2.148760331,Blue
28/01/2020,59400,23664541,-3.883495146,Red
29/01/2020,59100,16446102,-0.505050505,Red
30/01/2020,58800,20821939,-0.507614213,Red
31/01/2020,57800,19749457,-1.700680272,Red
3/02/2020,55500,23995260,-3.979238754,Red
4/02/2020,57100,21800192,2.882882883,Blue
5/02/2020,60000,19278165,5.078809107,Blue
6/02/2020,60100,14727159,0.166666667,Blue
7/02/2020,61100,16402493,1.663893511,Blue
10/02/2020,59200,13107121,-3.109656301,Red
11/02/2020,59800,11071231,1.013513514,Blue
12/02/2020,60300,12904207,0.836120401,Blue
13/02/2020,61200,18449775,1.492537313,Blue
14/02/2020,60900,13276067,-0.490196078,Red
17/02/2020,61600,8740596,1.149425287,Blue
18/02/2020,60800,16674266,-1.298701299,Red
19/02/2020,59800,12951496,-1.644736842,Red
20/02/2020,60700,14591924,1.505016722,Blue
21/02/2020,58800,13777393,-3.13014827,Red
24/02/2020,57400,25627537,-2.380952381,Red
25/02/2020,56200,23885408,-2.090592334,Red
26/02/2020,56000,25483102,-0.355871886,Red
27/02/2020,56300,23209541,0.535714286,Blue
28/02/2020,55000,30054227,-2.309058615,Red
2/03/2020,54300,30403412,-1.272727273,Red
3/03/2020,56700,30330295,4.419889503,Blue
4/03/2020,54800,24765728,-3.350970018,Red
5/03/2020,57600,21698990,5.109489051,Blue
6/03/2020,56500,18716656,-1.909722222,Red
9/03/2020,56500,0,0,Blue
10/03/2020,53800,32106554,-4.778761062,Red
11/03/2020,54300,45707281,0.92936803,Blue
12/03/2020,52100,0,-4.051565378,Red
13/03/2020,47450,59462933,-8.925143954,Red
16/03/2020,50100,33339821,5.584826133,Blue
17/03/2020,46900,51218151,-6.387225549,Red
18/03/2020,47750,40152623,1.812366738,Blue
19/03/2020,46400,56925513,-2.827225131,Red
20/03/2020,44150,49730008,-4.849137931,Red
23/03/2020,42600,41701626,-3.510758777,Red
24/03/2020,43850,49801908,2.9342723,Blue
25/03/2020,48950,52735922,11.63055872,Blue
26/03/2020,49000,42185129,0.102145046,Blue
27/03/2020,49600,39896178,1.224489796,Blue
30/03/2020,47050,26797395,-5.141129032,Red
31/03/2020,48000,30654261,2.019128587,Blue
1/04/2020,47450,27259532,-1.145833333,Red
2/04/2020,46200,21621076,-2.634351949,Red
3/04/2020,47400,22784682,2.597402597,Blue
6/04/2020,47500,23395726,0.210970464,Blue
7/04/2020,49650,31524034,4.526315789,Blue
8/04/2020,49600,25010314,-0.100704935,Red
9/04/2020,49750,22628058,0.302419355,Blue
10/04/2020,48950,17839111,-1.608040201,Red
13/04/2020,48650,14431800,-0.612870276,Red
14/04/2020,48800,14206216,0.308324769,Blue
16/04/2020,49350,23349760,1.12704918,Blue
17/04/2020,50800,32041675,2.938196555,Blue
20/04/2020,51400,21866354,1.181102362,Blue
21/04/2020,49400,27407543,-3.891050584,Red
22/04/2020,48700,18613864,-1.417004049,Red
23/04/2020,50200,18754442,3.080082136,Blue
24/04/2020,49650,15618347,-1.09561753,Red
27/04/2020,49350,14049471,-0.604229607,Red
28/04/2020,49850,16095399,1.013171226,Blue
29/04/2020,49900,15604533,0.100300903,Blue
4/05/2020,48900,26083749,-2.004008016,Red
6/05/2020,49000,18070225,0.204498978,Blue
7/05/2020,49200,13884411,0.408163265,Blue
8/05/2020,49100,15319700,-0.203252033,Red
11/05/2020,48900,16357743,-0.407331976,Red
12/05/2020,48400,23433590,-1.022494888,Red
13/05/2020,47250,20223277,-2.376033058,Red
14/05/2020,47750,19305974,1.058201058,Blue
15/05/2020,48400,18463118,1.361256545,Blue
18/05/2020,47950,20481981,-0.929752066,Red
19/05/2020,50100,25168295,4.483837331,Blue
20/05/2020,50000,14896899,-0.199600798,Red
21/05/2020,50300,14949266,0.6,Blue
22/05/2020,49600,19706284,-1.391650099,Red
25/05/2020,48750,14337913,-1.713709677,Red
26/05/2020,48700,15127490,-0.102564103,Red
27/05/2020,48950,19548479,0.513347023,Blue
28/05/2020,51100,31309318,4.392236977,Blue
29/05/2020,50000,27596961,-2.152641879,Red
1/06/2020,50800,16949183,1.6,Blue
2/06/2020,51000,14247933,0.393700787,Blue
3/06/2020,51800,49257814,1.568627451,Blue
4/06/2020,55800,40220334,7.722007722,Blue
5/06/2020,54400,22743629,-2.508960573,Red
8/06/2020,56400,25634965,3.676470588,Blue
9/06/2020,55800,23998831,-1.063829787,Red
10/06/2020,55100,16742493,-1.254480287,Red
11/06/2020,54500,33815123,-1.08892922,Red
12/06/2020,52100,26976019,-4.403669725,Red
15/06/2020,51400,28772921,-1.343570058,Red
16/06/2020,51200,21808375,-0.389105058,Red
17/06/2020,52100,26672595,1.7578125,Blue
18/06/2020,52200,15982926,0.19193858,Blue
19/06/2020,52600,18157985,0.766283525,Blue
22/06/2020,52000,13801350,-1.140684411,Red
23/06/2020,52500,18086152,0.961538462,Blue
